Country,Region,Happiness_Score,Economy,Family,Health,Freedom,Generosity,Trust
Romania,Central and Eastern Europe,5.82499981,1.21768391,1.15009129,0.68515831,0.45700374,0.13351992,0.0043879
Bolivia,Latin America and Caribbean,5.82299995,0.83375657,1.22761905,0.47363025,0.55873293,0.22556072,0.06047773
Turkmenistan,Central and Eastern Europe,5.82200003,1.13077676,1.49314916,0.43772608,0.41827193,0.24992499,0.25927034
Kazakhstan,Central and Eastern Europe,5.81899977,1.28455627,1.38436902,0.60604155,0.43745428,0.20196442,0.11928289
North Cyprus,Western Europe,5.80999994,1.34691131,1.18630338,0.83464724,0.47120363,0.2668457,0.15535335
Slovenia,Central and Eastern Europe,5.7579999,1.34120595,1.45251882,0.79082823,0.57257581,0.24264909,0.04512898
Peru,Latin America and Caribbean,5.71500015,1.03522527,1.21877038,0.63016611,0.45000288,0.12681971,0.04704909
Mauritius,Sub-Saharan Africa,5.62900019,1.18939555,1.20956099,0.63800746,0.49124733,0.36093375,0.04218156
Cyprus,Western Europe,5.62099981,1.35593808,1.13136327,0.8447147,0.35511154,0.2712543,0.04123798
Estonia,Central and Eastern Europe,5.61100006,1.32087934,1.4766711,0.69516832,0.47913143,0.09889081,0.18324892
Belarus,Central and Eastern Europe,5.56899977,1.15655756,1.44494522,0.63771427,0.29540026,0.15513751,0.15631382
Libya,Middle East and Northern Africa,5.5250001,1.10180306,1.35756433,0.52016902,0.46573323,0.15207367,0.09261021
Turkey,Middle East and Northern Africa,5.5,1.19827437,1.33775318,0.63760561,0.3007406,0.04669304,0.09967158
Paraguay,Latin America and Caribbean,5.49300003,0.93253732,1.50728488,0.57925069,0.47350779,0.22415066,0.09106591
"Hong Kong S.A.R., China",Eastern Asia,5.47200012,1.55167484,1.26279092,0.94306242,0.49096864,0.37446579,0.29393375
Philippines,Southeastern Asia,5.42999983,0.85769922,1.25391757,0.46800905,0.58521467,0.19351342,0.09933189
Serbia,Central and Eastern Europe,5.39499998,1.06931758,1.2581898,0.65078467,0.20871553,0.22012588,0.04090378
Jordan,Middle East and Northern Africa,5.33599997,0.99101239,1.23908889,0.60459006,0.41842115,0.17217046,0.11980327
Hungary,Central and Eastern Europe,5.32399988,1.28601193,1.34313309,0.68776345,0.17586352,0.07840166,0.03663694
Jamaica,Latin America and Caribbean,5.31099987,0.92557931,1.36821806,0.64102238,0.47430724,0.23381834,0.05526778
Croatia,Central and Eastern Europe,5.29300022,1.22255623,0.96798301,0.70128852,0.25577229,0.24800298,0.04310311
Kosovo,Central and Eastern Europe,5.27899981,0.95148438,1.1378535,0.54145205,0.26028794,0.31993145,0.05747162
China,Eastern Asia,5.27299976,1.08116579,1.16083741,0.7414155,0.47278771,0.02880684,0.02279427
Pakistan,Southern Asia,5.26900005,0.72688353,0.67269069,0.40204778,0.23521526,0.31544602,0.12434807
Indonesia,Southeastern Asia,5.26200008,0.99553859,1.2744447,0.49234572,0.44332346,0.61170459,0.01531714
Venezuela,Latin America and Caribbean,5.25,1.1284312,1.43133759,0.61714423,0.15399712,0.06501963,0.06449112
Montenegro,Central and Eastern Europe,5.23699999,1.12112904,1.2383765,0.66746467,0.19498906,0.19791102,0.08817419
Morocco,Middle East and Northern Africa,5.23500013,0.87811458,0.77486444,0.59771067,0.40815833,0.03220996,0.08776318
Azerbaijan,Central and Eastern Europe,5.23400021,1.15360177,1.15240026,0.54077578,0.39815584,0.04526934,0.18098751
Dominican Republic,Latin America and Caribbean,5.23000002,1.07937384,1.40241671,0.57487375,0.55258983,0.18696785,0.11394525
Greece,Western Europe,5.22700024,1.28948748,1.23941457,0.8101989,0.09573125,0,0.04328978
Lebanon,Middle East and Northern Africa,5.2249999,1.07498753,1.12962425,0.73508108,0.28851599,0.26445076,0.03751383
Portugal,Western Europe,5.19500017,1.31517529,1.36704302,0.79584354,0.4984653,0.09510271,0.01586945
Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.98240942,1.06933594,0.70518631,0.20440318,0.3288675,0
Honduras,Latin America and Caribbean,5.18100023,0.73057312,1.14394498,0.58256948,0.34807986,0.23618887,0.07334545
Macedonia,Central and Eastern Europe,5.17500019,1.06457794,1.20789301,0.64494818,0.32590598,0.25376096,0.06027779
Somalia,Sub-Saharan Africa,5.15100002,0.02264318,0.72115135,0.11398914,0.60212696,0.29163131,0.28241032
